,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
49898,Acclaim Audio,2022-09-20,https://acclaim-audio.com,"Orlando, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software","Artificial Intelligence (AI), Audio, SaaS, Software",707717.0,"Acclaim Audio, is an AI-first SaaS start-up. We’re experienced audio and software professionals with (over 40+ years of institutional experience and multiple Emmy Awards) who have created ESION, a SaaS- cloud service that instantly creates professional sounding, edited audio ready to deliver anywhere — in just a few taps.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,1,2022,44706,False,False
49938,Traindata,2021-02-05,https://traindata.us,"Sacramento, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Consulting, Data Collection and Labeling, Information Services, Information Technology, Internet, Machine Learning, Software",708809.0,"We do high precision and quality annotations of NLP data, Bounding Box, Polygon, Circle, Point and Cuboidal data.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,44742,False,False
49978,Newnow,2021-01-01,https://www.newnow.group,"Frankford, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Data Center, Internet",710085.0,"NEWNOW Group is an internet-based company that focuses on making artificial intelligence more accessible to business decision-makers. The company offers custom data and AI solutions to accelerate business processes. The team at NEWNOW Group is a blend of tech talents and seasoned C-level executives, united by a strong commitment to their mission. They aim to tackle the world's toughest challenges by amplifying, supporting, and developing passionate rising leaders with clear purpose.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,44778,False,False
50082,Cultivmade,2019-06-01,https://www.cultivmade.com/,"San Francisco, California, United States","Artificial Intelligence (AI), Clothing and Apparel, Commerce and Shopping, Consumer Goods, Data and Analytics, Design, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Beauty, E-Commerce, Fashion, Machine Learning, Retail Technology",712933.0,"Cultivmade is a mobile-first online shopping platform that uses AI and machine learning to curate fashion and beauty products for each shopper. Our goal is to eliminate the guess work and reduce the amount of time shoppers spend researching, filtering and scrolling.",11-50,0.0,,,0.0,,0.0,3.0,11-50,Private,,,,,,6,4,2019,44874,False,False
50097,GO2PIX,2020-12-23,https://www.go2pix.com/,"San Diego, California, United States","Apps, Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Mobile, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Mobile, Photography, Software",713137.0,GO2PiX aims to assist professional photographers by automating key management processes  through a smart assistance solution powered by AI technology,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2020,44888,False,False
50198,Ignite-AI,2020-01-01,https://www.ignite-ai.com,"Colorado Springs, Colorado, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Cyber Security, Information Technology, Network Security",716148.0,"Ignite-AI helps organizations in the private, public, and government sectors increase productivity and efficiency through technology to meet their needs. Their services include managed firewall and web filtering, Wi-Fi security, deep packet inspection, and compliance experts.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,44974,False,False
50230,WaiSDOM.AI,2019-01-01,https://waisdom.ai,"Dallas, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Data Integration, Information Technology",717265.0,"WaiSDOM.AI platform uses artificial intelligence that provides an end-to-end data and AI solution starting from data integration, customizable AI algorithms, self-serve dashboard to decision-making.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,45003,False,False
50248,Pixelleco,2020-09-01,http://Pixelle.co,"New York, New York, United States","Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Hardware, Media and Entertainment, Science and Engineering, Software, Video","Art, Artificial Intelligence (AI), Augmented Reality, Digital Media, Photography, Video Streaming, Virtual Reality",718130.0,Pixelle.co is a digital platform platform that seamlessly connects emerging artists and buyers through a highly innovative website.,1-10,0.0,,,0.0,,0.0,4.0,1-10,Private,,,,,,6,3,2020,45019,False,False
50338,sherafy.com,2020-04-15,https://sherafy.com/,"Long Beach, California, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Manufacturing, Professional Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Business Intelligence, Consulting, FinTech, Industrial Automation, Marine Technology, Software Engineering",721166.0,"Sherafy.com is a leading technology company specializing in research and analytics, custom application development, and AI integration. With a strong focus on innovation and cutting-edge solutions, Sherafy.com helps businesses harness the power of data-driven insights and advanced technologies to drive growth and efficiency. The company's core expertise lies in research and analytics, enabling clients to gain valuable insights into their markets, customers, and competitors. Sherafy.com empowers businesses to make informed decisions and drive strategic initiatives through advanced data analysis and modeling techniques. The company also excels in developing custom applications tailored to meet specific business needs. Their team of skilled engineers and developers leverage the latest technologies to create robust and user-friendly applications that streamline processes, improve productivity, and enhance customer experiences. Recognizing the transformative potential of artificial intelligence, Sherafy.com specializes in AI integration, helping businesses unlock the power of machine learning and automation. By implementing AI solutions, clients can automate routine tasks, optimize operations, and uncover new opportunities for growth and innovation. In addition to its core services, Sherafy.com offers fractional C-level placement, providing businesses with experienced executives who can contribute strategic leadership on a part-time basis. This service allows companies to leverage the expertise of seasoned professionals without the commitment of a full-time hire, driving organizational success and growth. Sherafy.com also offers Fortune-500 writing services, catering to businesses needing high-quality content creation. Their team of skilled writers combines industry expertise with exceptional writing skills to deliver engaging and persuasive content that resonates with target audiences and elevates brand presence. Furthermore, Sherafy.com specializes in custom formula and calculation development. Whether it's complex financial models, mathematical algorithms, or customized data calculations, their team of experts can create tailored solutions that meet specific business requirements. With a commitment to excellence and a focus on delivering results, Sherafy.com has built a reputation as a trusted technology partner for businesses across industries. Their client-centric approach, combined with a passion for innovation, ensures that each project is executed precisely and delivers tangible value.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2020,45102,False,False
50349,Quantumsoftech,2018-04-01,https://www.quantumsoftech.com/,"Palo Alto, California, United States","Apps, Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Information Technology, Mobile, Other, Science and Engineering, Software","Artificial Intelligence (AI), Blockchain, Information Technology, Mobile Apps, Web Development",721618.0,"Quantumsoftech is a leading web and app development company, offering a range of web development services such as web portal development, mobile app development, CMS development, BPO solutions, data analytics and API integration services & solutions. To make secure and fast application for your business, we have developed our core expertise in modern-day technologies like Blockchain and Artificial Intelligence. We provide custom application development services to let everyone treat their business with zero errors and hassles.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2018,45111,False,False
50407,Coglide,2019-01-01,https://www.coglide.com/,"Vienna, Virginia, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Software",723406.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,45157,False,False
50433,Daisy,2021-03-21,https://daisypet.ai/,"Saint Paul, Minnesota, United States","Apps, Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Mobile, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Mobile Apps, Pet",724156.0,"Daisy is an AI-powered health and wellness smartphone app designed to help dog owners raise healthier and happier dogs. Leveraging advanced artificial intelligence, Daisy provides personalized wellness advice, on-demand training solutions, custom meal plans, and behavior insights to dog owners. The platform acts as a 24/7 team of dog experts in your pocket, saving users hundreds of dollars each year in dog care. Founded by a team of seasoned professionals with 20+ years of experience in building, launching, and marketing tech-focused products and services, Daisy is at the forefront of using AI to revolutionize pet care. The founders, who are also passionate dog owners, have created AI-forward technologies for startups and Fortune 100 companies alike, bringing their extensive expertise to the pet care industry. Daisy's mission is to use AI to improve the lives and health outcomes of dogs while making pet care more accessible, personalized, and effective for dog owners.  For more information about Daisy, visit www.daisypet.ai.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,2,2021,45182,False,False
50467,FMeasure,2018-06-01,https://www.fmeasure.com,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Internet Services, Professional Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Data Mining, Legal Tech, Machine Learning, Market Research, Search Engine, Semantic Search",725029.0,FMeasure maintains one of the largest knowledge graph on business and technology in the world and provides explainable artificial intelligence services for a number of financial tasks including acquirer recommendation and target screening in merger & acquisition. FMeasure offers exclusive techniques to find organizations & products in a niche market and discover the technologies behind them.,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,0.0,1.0,,6,5,2018,45210,False,False
50508,Meghaz,2019-01-01,https://meghaz.com,"Houston, Texas, United States","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Information Technology, Other, Privacy and Security, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Blockchain, Cyber Security, DevOps, Outsourcing",726154.0,"Meghaz provides outsourcing solutions, agile and devops, IOT and block chain, cyber security, application development and maintenance, cloud services, artificial intelligence, machine learning, data modernization and management, and more services. They offer product consulting and engineering services at each stage of the product development life cycle.",51-100,0.0,,,0.0,,0.0,,51-100,Private,,,0.0,1.0,,6,5,2019,45248,False,False
