,company,Founded Date,website,Headquarters Location,Industries,Number of Employees,CB Rank (Company),Full Description,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,age,org_uuid,snapshot_in_window
655,Afterparty,2021-01-01,https://afterparty.com,"Los Angeles, California, United States","Content Creators, Cryptocurrency, Internet",11-50,"4,588","Afterparty is a technology company behind the new Web3 platform enabling creators to directly monetize and manage NFT collector relationships. The company's platform and community, creators can directly monetize and connect with their biggest fans and supporters by hosting token-gated experiences in the metaverse and in real life. Afterparty was launched in 2021 and is based in Los Angeles, California.","Blockchain and Cryptocurrency, Financial Services, Internet Services, Media and Entertainment, Payments, Software",5.0,,2023-09-20,5000000.0,Venture - Series Unknown,25825663.0,Private,,,0.0,8.0,,3,567,False
658,MatrixSpace,2019-01-01,https://matrixspace.com,"Burlington, Massachusetts, United States","Artificial Intelligence, Information Technology, Machine Learning",11-50,"4,591","MatrixSpace is re-imagining radar. We are addressing the next generation of AI-enabled sensing so that objects can be identified, and data collected in real-time - no cloud access required. We’re building the smallest radar system to provide new levels of integrated outdoor surveillance in 4D (the size, location, and movement of objects in time) that makes it accessible to a broad range of public and private enterprises.","Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",2.0,Early Stage Venture,2023-06-07,10000000.0,Series A,20100000.0,Private,,,0.0,1.0,,5,568,False
672,Clockwork,2018-10-01,https://www.likeclockwork.com,"San Francisco, California, United States","Artificial Intelligence, Beauty, Robotics, Software",1-10,"4,623","Clockwork is building AI-powered robots to deliver express beauty services for people on the go. They started with nails, and have developed the world’s first fully autonomous manicure robot, which can paint nails perfectly.","Artificial Intelligence, Consumer Goods, Data and Analytics, Hardware, Science and Engineering, Software",3.0,,2023-10-17,5690603.0,Equity Crowdfunding,14190603.0,Private,,,4.0,1.0,,5,569,False
675,MainStreet,2019-10-01,https://www.mainstreet.com,"San Jose, California, United States","Banking, Financial Services, FinTech, Procurement, Software",101-250,"4,630","MainStreet identifies and claims government incentives, tax credits, deductions, and stimulus funds for startups and SMBs. The company’s platform scans payroll and accounting systems to match federal, state, and local tax credits, in addition to managing legal workflows, to help clients save money and time. MainStreet charges a flat 20% success fee upon incentive disbursement.  MainStreet is backed by leading investors SignalFire, Gradient Ventures, Sound Ventures, Tusk Venture Partners, SV Angel, Moxxie Ventures, Weekend Fund, and Shrug Capital, among others.  Daniel Griffin, Doug Ludlow, and Dan Lindquist founded MainStreet in 2019 in San Jose, California.","Financial Services, Lending and Investments, Software, Transportation",6.0,Early Stage Venture,2022-01-21,,Series B,64650000.0,Private,,,0.0,0.0,,4,570,False
676,Radiant,2019-01-01,https://radiantnuclear.com/,"El Segundo, California, United States","Clean Energy, Energy, Energy Efficiency, Renewable Energy",11-50,"4,635","Radiant develops a portable and zero-emissions power source that works anywhere. Its patented portable nuclear microreactor is the brainchild of former SpaceX engineers who have experience quickly bringing real products and innovations to the market. Radiant’s clean-energy solution uses safe fuels that have already been extensively tested by the Department of Energy, materials that have already been used in prior nuclear designs, and a nuclear core design based on sixty years of progressive innovation. Radiant can offer a low-cost, portable renewable power source that can be an alternative to fossil fuels for both military and commercial applications.","Energy, Sustainability",4.0,Early Stage Venture,2023-04-18,40000000.0,Series B,53819987.0,Private,,,2.0,2.0,Nuclear Physics; Nuclear Engineering,5,571,False
686,Clade Therapeutics,2020-01-01,https://cladetx.com,"Cambridge, Massachusetts, United States","Biotechnology, Health Care, Medical",1-10,"4,658","Clade Therapeutics is a biopharmaceutical company focused on discovering and delivering scalable, off-the-shelf, next-generation stem-cell-based medicines. The company was incorporated in 2020 and has been operating in Cambridge, Massachusetts, United States.","Biotechnology, Health Care, Science and Engineering",1.0,Early Stage Venture,2021-11-03,87000000.0,Series A,87000000.0,Private,,,,,,4,572,False
688,Biohaven,2022-01-01,https://www.biohaven.com,"New Haven, Connecticut, United States","Biopharma, Biotechnology, Health Care",251-500,"4,660",,"Biotechnology, Health Care, Science and Engineering",1.0,IPO,2023-10-02,258700000.0,Post-IPO Equity,258700000.0,Public,2017-05-05,,,,,2,573,False
690,ArsenalBio,2019-01-01,https://www.arsenalbio.com,"South San Francisco, California, United States","Biotechnology, Cloud Computing, Life Science, Medical",101-250,"4,662","ArsenalBio is building a programmable cell therapy company to create highly effective and accessible immune cell therapies to impact outcomes for a much broader number of patients, initially those with cancer. Founded in 2019, ArsenalBio is focused on integrating technologies such as CRISPR-based genome engineering, scaled and high throughput target identification, synthetic biology, and machine learning to advance a new paradigm to discover and develop immune cell therapies. With its programmable and computationally driven approach, ArsenalBio aspires to evolve critical metrics of success for immune cell therapies, including enhanced and broader efficacy, increased patient safety, reduced provider costs, and expanded market access.","Biotechnology, Health Care, Internet Services, Science and Engineering, Software",2.0,Early Stage Venture,2022-09-06,220806682.0,Series B,305806682.0,Private,,,,,,5,574,False
694,Kindred,2021-01-01,https://livekindred.com,"San Francisco, California, United States","Travel, Travel Accommodations, Travel Agency",,"4,668","Kindred is not a platform for vacation rentals; it is a members-only network for house sharing. Since each participant must host their own home in order to remain a guest, there is a higher level of trust among participants. Members are trusted peers looking to travel more regularly as opposed to professional hosts looking to rent their investment property because there is no cash exchange between the guest and the host.",Travel and Tourism,2.0,Early Stage Venture,2023-04-19,15000000.0,Series A,22750000.0,Private,,,0.0,2.0,,3,575,False
696,Graphiant,2020-08-10,https://www.graphiant.com,"San Jose, California, United States",Information Technology,101-250,"4,671","Graphiant is a Silicon Valley-based startup developing upcoming networking solutions. The company has developed Graphiant Network Edge, a software-as-a-service solution that connects the enterprise WAN, hybrid cloud, network edge, clients, and partners. It was founded in 2020 and is headquartered in San Jose, California.",Information Technology,2.0,Early Stage Venture,2023-03-28,62000000.0,Series B,96000000.0,Private,,,2.0,0.0,,3,576,False
701,CarbonCapture,2019-01-01,https://carboncapture.com/,"Pasadena, California, United States","Environmental Consulting, Renewable Energy",11-50,"4,678","CarbonCapture is a climate tech company that makes machines that remove CO2 directly from the atmosphere. They're working to reverse climate change by making machines that leverage innovative molecular sieves, low-cost renewable energy, and tunable purpose-built systems to cost-effectively remove CO2 from the atmosphere at scale.","Energy, Professional Services, Sustainability",3.0,Early Stage Venture,2023-09-12,,Series A,35000000.0,Private,,,5.0,0.0,Physical Or Chemical Processes Or Apparatus In General,5,577,False
706,Real,2019-01-01,https://www.join-real.com,"New York, New York, United States","Fitness, Health Care, Wellness",11-50,"4,688","Real is a mental healthcare company that provides a digital platform and in-person experience for mental health patients. It made its mission to develop a new therapy model based on member-centered care that is affordable and effective. Real was founded in 2019 by Ariela Safira and is based in New York, United States.","Health Care, Sports",4.0,Early Stage Venture,2022-04-12,37000000.0,Series B,53000000.0,Private,,,0.0,2.0,,5,578,False
710,Saturn Technologies,2018-11-01,https://www.joinsaturn.com/,"New York, New York, United States","Apps, Information Services, Scheduling",11-50,"4,695",Saturn is a social network that operates on a temporal basis. Saturn organizes chaotic high school schedules and connects students with the people and information that are most important to them.,"Apps, Information Technology, Software",3.0,,2021-08-10,44000000.0,Venture - Series Unknown,44000000.0,Private,,,0.0,0.0,,5,579,False
