,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped
8361,Nimbus Healthcare,2021-04-30,https://www.nimbushealthcare.com,"Austin, Texas, United States",Health Care,Health Care,59859.0,Nimbus is a digital health platform providing patients with affordable and accessible care from diagnostics to treatment from the comfort of their home. Nimbus utilizes advanced at-home testing to  personalize prescription for your unique biochemistry using FDA-approved ingredients to maximize effectiveness and results for Hormone Optimization and Hair Restoration. All from the comfort of your home.,11-50,2.0,Seed,2021-10-31,1050000.0,Pre-Seed,1300000.0,1.0,11-50,Private,,,0.0,1.0,,0,2,2021,8131,True
10041,Swervnation,2019-04-20,https://swervnation.com/,"Chicago, Illinois, United States","Content and Publishing, Media and Entertainment, Music and Audio, Sales and Marketing, Video","Digital Entertainment, Marketing, Music, Video Editing",71499.0,"SWERVNATION IS A NEWLY OWNED AND OPERATED COMPANY CREATED BY ITS VERY FIRST ARTIST JAMES SAMUELS Jr. aka dreadrock. James Samuels Jr.  (born May 21, 1995), better known by his stage name Dreadrock, is an American rapper that grew up on the hard city streets of Chicago westside, an experience that subsequently contributed to his love for hip hop, overcoming the trials and bringing the tribulations from his life to paper. Therefore, on April 22, 2019, was released by Dreadrock the label Swervnation, a hip hop record label from Chicago westside ready to help rappers like himself have a voice and outlet. Swervnation started as Swervgang, and the origin of swervnation came from Dreadrock telling to the people to Swerv, basically, swerve around the drama Joining with the partnership of Tamille Baker, who currently holds an MBA and a Master’s Education. Tamille has worked with multiple organizations giving back and speaking to teens across the Chicago area. Certainly, the Dynamic Duo is ready to give back to the world through music and providing more positive outlets for our youth.",1-10,1.0,Seed,2023-03-20,10000000.0,Seed,10000000.0,1.0,1-10,Private,,,,,,0,4,2019,9731,True
2643,Roadway,2023-07-01,https://roadwayai.com,"San Rafael, California, United States","Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Developer Tools, Marketing",26481.0,,1-10,1.0,Seed,2023-08-15,3200000.0,Seed,3200000.0,2.0,1-10,Private,,,,,,0,0,2023,2592,True
10243,Kleoverse,2021-01-01,https://www.kleoverse.com/,"Finland, Minnesota, United States","Blockchain and Cryptocurrency, Internet Services, Other, Software","Internet, Service Industry, Software, Web3",72856.0,"Kleoverse is a  platform to work in the Web3 and revolutionize how talent is signaled, discovered on the web. Kleoverse provides permissionless projects and blockchain-based personal portfolios.",1-10,1.0,,2022-01-25,1200000.0,Undisclosed,1200000.0,,1-10,Private,,,,,,1,3,2021,9924,True
5896,Volley,2020-05-01,http://volleyapp.com,"Lehi, Utah, United States","Apps, Consumer Electronics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Apps, Computer, Meeting Software, Messaging, Software",44602.0,"Volley monetizes experiences in a matter of minutes. Users can create paid group membership programs such as group coaching, mastermind, inner circle, bootcamp, accelerator, fitness challenge, and learning community. It develops 1:1 coaching and consulting products and allows collaboration with a remote team.",11-50,1.0,Seed,2021-10-18,5500000.0,Seed,5500000.0,4.0,11-50,Private,,,,,,0,3,2020,5764,True
3519,Wearable Technologies,2021-10-24,https://wear-tech.com/,"Hartland, Wisconsin, United States","Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Government and Military, Health Care, Mobile, Platforms, Software","Elder Care, Family, Generative AI, Health Care, iOS, Machine Learning, Personal Health, Predictive Analytics, Public Safety, Wellness",31112.0,"Wearable Technologies is an AI-enabled wearable and IoT device start-up that designs and develops computer hardware and software for vulnerable/at-risk populations. The company was incorporated in 2021 and is headquartered in Hartland, Wisconsin.",1-10,6.0,Seed,2023-12-31,455000.0,Seed,2373000.0,1.0,1-10,Private,,,0.0,1.0,,0,2,2021,3452,True
2545,WorkMagic,2023-01-01,https://www.workmagic.io,"Newark, California, United States","Artificial Intelligence (AI), Information Technology, Sales and Marketing, Software","Generative AI, Information Technology, Marketing, SaaS",26049.0,"WorkMagic is a generative AI-driven multi-agent marketing SaaS platform. Its objective is to offer e-commerce companies the automation and self-governance that is required to expand more quickly and stress-free by offering an approachable, AI-powered marketing platform.",11-50,1.0,Seed,2023-10-24,2000000.0,Seed,2000000.0,,11-50,Private,,,,,,0,1,2023,2494,True
6600,Buncha,2020-01-01,http://www.gobuncha.com,"Minnetonka, Minnesota, United States","Administrative Services, Commerce and Shopping, Food and Beverage","Delivery, E-Commerce, Grocery",48892.0,Buncha Buncha is a grocery delivery app that connects neighborhoods directly with their local merchants for weekly deliveries. They delivers both groceries and restaurants products.,11-50,2.0,,2022-09-29,0.0,Venture - Series Unknown,95000.0,3.0,11-50,Private,,,,,,2,4,2020,6443,True
1549,Rarebreed veterinary partners,2019-01-01,https://www.rarebreedvet.com,"Portland, Maine, United States",Health Care,"Health Care, Veterinary",20759.0,Rarebreed Veterinary Partners is a company dedicated to bringing veterinary talent together to ultimately offer exceptional care to customers.,101-250,3.0,M&A,2021-05-13,0.0,Private Equity,40000000.0,3.0,101-250,Private,,,1.0,5.0,,1,5,2019,1519,True
11036,Reelist,2022-08-01,https://www.reelist.com/,"Norfolk, Virginia, United States","Administrative Services, Advertising, Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Professional Services, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Communities, Enterprise Software, Human Resources, Machine Learning, Recruiting, Software, Video Advertising",78764.0,,1-10,4.0,Seed,2023-05-25,75000.0,Grant,270000.0,2.0,1-10,Private,,,,,,0,1,2022,10676,True
7816,Better Sour,2023-01-01,https://www.bettersour.com,"Austin, Texas, United States",Food and Beverage,"Food and Beverage, Food Processing",56499.0,Better Sour is a gummy candy manufacturer. It features globally-inspired sour flavors.,1-10,1.0,Seed,2023-02-20,1000000.0,Pre-Seed,1000000.0,,1-10,Private,,,0.0,1.0,,0,1,2023,7613,True
496,Nextdata,2022-01-01,https://www.nextdata.com,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Information Technology, Internet",15489.0,Nextdata offers an operating system for decentralized data at scale on an AI platform.,1-10,1.0,Seed,2023-09-28,12000000.0,Seed,12000000.0,,1-10,Private,,,,,,0,2,2022,487,True
12040,ezWiFi,2021-01-01,https://ezwi.fi,"Miami, Florida, United States","Internet Services, Software","Internet, Software",86447.0,ezWiFi is on a mission to connect the next billion people to the Internet by building the sharing-economy for WiFi.,1-10,2.0,Seed,2022-12-16,120000.0,Pre-Seed,120000.0,1.0,1-10,Private,,,,,,0,3,2021,11619,True
7311,Stardust,2018-05-01,http://stardust.gg,"Palo Alto, California, United States","Blockchain and Cryptocurrency, Financial Services, Gaming, Media and Entertainment, Other, Software","Blockchain, Developer APIs, FinTech, Gaming, Metaverse, Software",53135.0,"Stardust is a software platform that enables game developers to build in the metaverse. The blockchain is completely changing how gaming interacts with the broader world of finance, social, and more. Stardust provides game developers with an easy graphical platform to build and manage their games. The platform's API allows developers to start building without committing to a blockchain.  Stardust was founded in 2018 and is headquartered in Palo Alto, California.",11-50,5.0,Early Stage Venture,2022-10-18,30000000.0,Series A,36700000.0,1.0,11-50,Private,,,0.0,4.0,,0,5,2018,7124,True
7888,RingLogix,2019-02-01,http://www.ringlogix.com,"Miami Lakes, Florida, United States","Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","PaaS, Telecommunications, VoIP",56924.0,"RingLogix provides a white label VoIP platform called RingOS, which allows Partners to sell, provision, bill, and support their own branded VoIP and UC services. With a managed VoIP switch, instant order activation, hassle-free number porting, multiple services, and a flexible billing system, it makes it simple to become a VoIP provider.",11-50,2.0,Early Stage Venture,2022-10-11,3000000.0,Series A,4500000.0,2.0,11-50,Private,,,0.0,1.0,,0,5,2019,7679,True
8117,SummerBio,2020-01-01,https://www.summer.bio,"Menlo Park, California, United States",Health Care,Health Care,58201.0,SummerBio has created an end-to-end COVID-19 test system designed from the ground up to massively automate the existing gold-standard RT-qPCR regimen based on commercially-available and scalable consumables.,11-50,1.0,,2020-11-18,7300000.0,Venture - Series Unknown,7300000.0,2.0,11-50,Private,,,,,,1,4,2020,7895,True
8800,KarbonPay,2019-12-31,https://www.karbonpay.com,"Dallas, Texas, United States","Administrative Services, Software","Human Resources, SaaS, Software",62821.0,"KarbonPay is a payroll SaaS platform that automates payroll processing across countries. KarbonPay was founded in 2019 and was headquartered in Texas, USA.",11-50,3.0,Seed,2021-05-15,220000.0,Seed,1122046.0,1.0,11-50,Private,,,,,,0,4,2019,8550,True
7490,Airiam,2021-01-01,https://airiam.com,"Miami Beach, Florida, United States","Information Technology, Internet Services, Privacy and Security","Cloud Data Services, Cyber Security, Information Technology",54171.0,"Airiam is an information technology service provider that focuses on cybersecurity, incident response, and custom development. The company was founded in 2021 and is headquartered in Miami Beach, Florida, United States.",1-10,1.0,,2022-03-16,1395104.0,Venture - Series Unknown,1395104.0,,1-10,Private,,,0.0,2.0,,1,3,2021,7299,True
8732,4E Therapeutics,2019-01-01,https://4etherapeutics.com,"Austin, Texas, United States","Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Pharmaceutical, Therapeutics",62295.0,4E Therapeutics is developing an innovative therapy for chronic neuropathic pain and is also at the forefront of discovering and developing compounds to treat migraine and acute pain. Neuropathic pain is a serious unmet medical need. They make an effort to regulate the activity of pain-sensing neurons in the peripheral nervous system.,1-10,2.0,,2021-11-10,5500000.0,Grant,7200000.0,3.0,1-10,Private,,,3.0,0.0,Medical Or Veterinary Science; Hygiene,1,5,2019,8485,True
13290,AskNeo.io,2020-01-01,https://askneo.io/,"New York, New York, United States","Advertising, Information Technology, Internet Services, Messaging and Telecommunications, Other, Professional Services, Sales and Marketing, Software","Advertising, Collaboration, Customer Service, Marketing Automation, Sales Automation, SMS",95767.0,"AskNeo helps teams collaborate in real time, one customer thread at a time. AskNeo is the first intelligent shared inbox helping teams unify the customer experience to increase revenue. Like Neo in the Matrix helping humans reconnect with each other in real life, AskNeo helps consumer brands reconnect with customers in the most authentic way.",1-10,4.0,Seed,2021-12-01,125000.0,Pre-Seed,603000.0,1.0,1-10,Private,,,,,,0,4,2020,12791,True
